Time,T1,T2,U1,U2,SP1,SP2
0,20.949499999999997,20.949499999999997,100,100,21.67,21.67
5.02,21.2718,21.2718,100,100,24.18,24.18
10.01,22.238699999999998,22.238699999999998,100,100,26.675,26.675
15.03,23.5279,23.5279,100,100,29.185000000000002,29.185000000000002
20.03,25.461699999999997,25.461699999999997,100,100,31.685000000000002,31.685000000000002
25.0,27.3955,27.073199999999996,100,100,34.17,34.17
30.01,29.329299999999996,29.329299999999996,100,100,36.675000000000004,36.675000000000004
35.02,31.585399999999996,31.585399999999996,100,100,39.18000000000001,39.18000000000001
40.02,33.841499999999996,33.841499999999996,100,100,41.68000000000001,41.68000000000001
45.03,36.0976,36.0976,100,100,44.185,44.185
50.0,38.675999999999995,38.353699999999996,100,100,46.67,46.67
55.0,40.6098,40.6098,100,100,49.17,49.17
60.03,43.188199999999995,42.865899999999996,100,100,51.685,51.685
65.0,45.122,45.122,100,100,54.17,54.17
70.03,47.378099999999996,47.378099999999996,100,100,56.685,56.685
75.01,49.63419999999999,49.63419999999999,100,100,59.175000000000004,59.175000000000004
80.03,51.568,51.568,100,100,61.685,61.685
85.01,53.501799999999996,53.501799999999996,100,100,64.17500000000001,64.17500000000001
90.03,55.435599999999994,55.435599999999994,100,100,66.685,66.685
95.04,57.3694,57.3694,100,100,69.19,69.19
105.04,60.914699999999996,60.914699999999996,100,100,74.19,74.19
110.03,62.848499999999994,62.848499999999994,100,100,76.685,76.685
115.05,64.46,64.46,100,100,79.195,79.195
125.04,67.3607,67.3607,100,100,84.19,84.19
130.02,68.9722,68.9722,100,100,86.68,86.68
135.01,70.2614,70.2614,100,100,89.175,89.175
140.0,71.8729,71.8729,100,100,91.67,91.67
145.03,73.1621,73.1621,100,100,94.0,94.0
155.03,75.7405,75.7405,100,100,94.0,94.0
160.01,77.02969999999999,76.70739999999999,100,100,94.0,94.0
165.04,77.9966,77.9966,100,100,94.0,94.0
175.02,80.25269999999999,80.25269999999999,100,100,94.0,94.0
180.04,81.2196,81.2196,100,100,94.0,94.0
185.02,82.1865,82.1865,100,100,94.0,94.0
190.01,83.15339999999999,83.15339999999999,100,100,94.0,94.0
195.02,84.1203,84.1203,100,100,94.0,94.0
200.01,85.0872,85.0872,100,100,94.0,94.0
205.07,86.05409999999999,86.05409999999999,100,100,94.0,94.0
215.04,87.6656,87.6656,100,100,94.0,94.0
220.05,88.3102,88.3102,100,100,94.0,94.0
225.02,89.27709999999999,89.27709999999999,100,100,94.0,94.0
235.02,90.5663,90.5663,100,100,94.0,94.0
240.02,91.2109,91.2109,93.74156082061297,93.74156088142226,94.0,94.0
245.05,91.85549999999999,91.85549999999999,64.49663767085838,64.49663767086007,94.0,94.0
255.0,92.82239999999999,92.50009999999999,45.05143552353523,45.05143552353519,94.0,94.0
260.04,92.50009999999999,92.82239999999999,45.24586810726335,45.245868107263256,94.0,94.0
265.03,92.50009999999999,92.50009999999999,45.24586030335509,45.245860303354974,94.0,94.0
270.0,92.17779999999999,91.85549999999999,55.065554472543454,55.06555447254332,94.0,94.0
275.03,91.5332,91.5332,74.60772396188801,74.60772396188787,94.0,94.0
285.0,90.5663,90.5663,100,100,94.0,94.0
290.05,90.5663,90.244,100,100,94.0,94.0
295.06,90.244,90.244,100,100,93.80000000000001,93.80000000000001
305.05,90.8886,90.5663,0,0,88.805,88.805
310.03,90.5663,90.5663,0,0,86.31500000000003,86.31500000000003
315.05,90.244,90.244,0,0,83.805,83.805
325.06,87.9879,87.9879,0,0,78.80000000000001,78.80000000000001
335.03,84.7649,84.7649,0,0,73.81500000000003,73.81500000000003
345.01,81.2196,81.5419,0,0,68.82500000000002,68.82500000000002
350.01,79.6081,79.6081,0,0,66.32500000000002,66.32500000000002
355.06,77.67429999999999,77.67429999999999,0,0,63.80000000000001,63.80000000000001
365.02,74.12899999999999,74.12899999999999,0,0,60.0,60.0
370.02,72.5175,72.5175,0,0,60.0,60.0
