Time,T1,T2,U1,U2,SP1,SP2
0,20.949499999999997,20.949499999999997,100,100,21.67,21.67
5.02,21.2718,21.2718,100,100,24.18,24.18
10.02,22.238699999999998,22.238699999999998,100,100,26.68,26.68
15.03,23.5279,23.5279,100,100,29.185000000000002,29.185000000000002
20.02,25.461699999999997,25.1394,100,100,31.68,31.68
25.04,27.073199999999996,27.3955,100,100,34.19,34.19
30.0,29.329299999999996,29.329299999999996,100,100,36.67,36.67
40.02,33.841499999999996,33.841499999999996,100,100,41.68000000000001,41.68000000000001
45.03,36.0976,36.0976,100,100,44.185,44.185
50.03,38.353699999999996,38.353699999999996,100,100,46.685,46.685
60.01,42.865899999999996,42.865899999999996,100,100,51.675,51.675
65.0,45.122,45.122,100,100,54.17,54.17
70.01,47.378099999999996,47.378099999999996,100,100,56.675000000000004,56.675000000000004
75.02,49.63419999999999,49.311899999999994,100,100,59.18,59.18
80.03,51.568,51.568,100,100,61.685,61.685
85.03,53.501799999999996,53.501799999999996,100,100,64.185,64.185
90.03,55.435599999999994,55.435599999999994,100,100,66.685,66.685
100.03,59.3032,59.3032,100,100,71.685,71.685
105.02,60.914699999999996,60.914699999999996,100,100,74.18,74.18
110.0,62.526199999999996,62.848499999999994,100,100,76.67,76.67
115.04,64.46,64.46,100,100,79.19,79.19
120.04,66.0715,66.0715,100,100,81.69,81.69
130.04,68.9722,68.9722,100,100,86.69,86.69
135.02,70.2614,70.5837,100,100,89.18,89.18
140.03,71.8729,71.8729,100,100,91.685,91.685
150.03,74.45129999999999,74.45129999999999,100,100,94.0,94.0
155.02,75.4182,75.7405,100,100,94.0,94.0
160.02,77.02969999999999,76.70739999999999,100,100,94.0,94.0
165.0,77.9966,77.9966,100,100,94.0,94.0
170.03,79.2858,79.2858,100,100,94.0,94.0
180.03,81.2196,81.2196,100,100,94.0,94.0
185.03,82.1865,82.1865,100,100,94.0,94.0
190.01,83.47569999999999,83.15339999999999,100,100,94.0,94.0
200.0,85.0872,85.0872,100,100,94.0,94.0
205.02,86.05409999999999,86.05409999999999,100,100,94.0,94.0
210.01,86.69869999999999,86.69869999999999,100,100,94.0,94.0
215.02,87.6656,87.6656,100,100,94.0,94.0
220.01,88.3102,88.6325,100,100,94.0,94.0
225.02,89.27709999999999,89.27709999999999,100,100,94.0,94.0
230.05,89.92169999999999,89.92169999999999,100,100,94.0,94.0
240.01,91.2109,91.2109,93.54711134851628,93.5471114093257,94.0,94.0
245.04,91.85549999999999,91.85549999999999,64.49663767085822,64.49663767086003,94.0,94.0
250.02,92.50009999999999,92.50009999999999,45.05148198776059,45.051481987760845,94.0,94.0
255.04,92.50009999999999,92.50009999999999,45.24588499563162,35.42618665475691,94.0,94.0
260.01,92.50009999999999,92.50009999999999,45.245868107263206,45.343092843311474,94.0,94.0
270.01,91.5332,91.5332,74.70495115429284,74.70495115429281,94.0,94.0
275.02,91.2109,90.8886,84.2329728306661,94.05267117154081,94.0,94.0
280.04,90.8886,90.5663,93.95544489152753,100,94.0,94.0
290.0,90.5663,90.5663,100,100,94.0,94.0
295.03,90.5663,90.8886,97.94419090895654,97.94419090895646,93.81500000000003,93.81500000000003
300.03,90.8886,90.8886,12.011370117069392,12.011370117069298,91.31500000000003,91.31500000000003
310.01,90.244,90.5663,0,0,86.32500000000002,86.32500000000002
315.03,89.59939999999999,89.59939999999999,0,0,83.81500000000003,83.81500000000003
320.04,88.3102,88.6325,0,0,81.31,81.31
330.0,85.4095,85.73179999999999,0,0,76.33000000000001,76.33000000000001
335.02,83.79799999999999,84.1203,0,0,73.82000000000002,73.82000000000002
340.01,81.8642,82.1865,0,0,71.32500000000002,71.32500000000002
345.01,80.25269999999999,80.25269999999999,0,0,68.82500000000002,68.82500000000002
350.01,78.3189,78.6412,0,0,66.32500000000002,66.32500000000002
355.01,76.70739999999999,76.70739999999999,0,0,63.82500000000002,63.82500000000002
360.04,74.77359999999999,75.0959,0,0,61.31,61.31
